,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019
jackal,1000,988.3380215658696,994.5965924035696,982.9929654921948,996.2440961544667,1052.093621535033,1054.7504236096163,1071.3761574588157,1072.8912348532017,1068.6526521969915,1052.2701906563502,1070.3647838819222,1080.1684614828378,1080.1684614828378
jaya,1000,1000.0,978.2127594627594,976.478339676478,978.1910676420508,981.587564404697,1012.4103623207865,1020.872758966325,1019.2498098153508,1017.4231972529576,1012.0473198520135,1015.6361401351767,1019.162654510646,1025.9570722073836
juggernaut,1000,996.3927678814073,1004.9652507936287,1013.0363804267412,1032.6690651230097,1062.7174890286817,1094.8731207960716,1096.6686911971028,1099.2663056954782,1099.6995743308837,1090.2110098609483,1090.9084161713388,1100.859949770127,1100.859949770127
karn,1000,1016.9877761626193,1006.8141897623764,1011.9333710836853,1026.5349380220327,1031.29835652628,1035.8180299995959,1054.356098607434,1056.7571805019818,1044.4853779189486,1040.0702634967895,1036.8325059729336,1037.8775676171413,1037.8775676171413
kavu,1000,999.9605110244496,1010.5731273904416,1011.6267119058792,1029.967743577248,1067.469637066797,1099.0942289029624,1090.516635672908,1101.850050285842,1085.10342681059,1099.0578432219083,1103.0219502710074,1101.4210022861869,1101.4210022861869
kaya,1000,997.4056035376603,962.2776781047116,931.7856407175287,913.4036731689588,918.5302162573796,887.7504550110028,866.728744056892,846.3197955440747,838.7438426459444,815.8989162030612,803.6481817255377,797.7054208345983,800.364438904047
kithkin,1000,998.3061202743704,1003.8532610291317,1016.5363872827936,1029.6915369498633,1067.7219861252418,1082.485164784704,1099.732144062299,1092.4250417532996,1088.0936600976167,1092.5925856942151,1089.6002957771088,1094.766673727507,1094.766673727507
knight,1000,998.7837858173148,1003.0961414125644,1000.2160435563492,1020.679715010627,1051.1938469643385,1072.401300423981,1081.8668205003232,1094.7161951362577,1086.9610547823586,1086.1990546993297,1080.7518523540036,1079.05821585753,1079.8433712948306
kobold,1000,996.0287946403572,1011.9217946433333,1009.7583193759863,1008.5066037897162,1001.3177957666952,997.493014658068,995.6823216601616,1006.7860961859219,1003.7614688655646,991.3282310457048,979.5304713963203,991.3487433168684,991.3487433168684
kor,1000,1000.3239792042464,1011.5796127226747,1020.3133449311197,1055.1395075234486,1088.7196879367868,1101.4802561155002,1122.6046472824507,1118.5494758952575,1122.361299566309,1115.8846111322127,1118.0434410469788,1125.0235448513788,1123.7346128157415
