,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019,04/08/2019
cephalid,,0.008067792000000074,0.00877132874412867,0.014182815211612576,0.028610083666603447,0.04523334657326217,0.013490410921634055,-0.0020216299138940963,0.009796409801304362,-0.012702850900599194,0.003622263013512095,0.015469652957114777,-0.0005391597118351577,0.0,0.0
chandra,,-0.0024114157000000302,0.017885814834699643,0.0037644103709395527,0.011567607948673508,0.028044272872647102,0.0241831386948419,-0.006750422101905573,-0.016280705357448744,-0.008769240097679099,0.014831584788161045,-0.025146212595825834,-0.00830607952133866,-0.0011743227014849866,0.0
chimera,,0.007835811000000081,0.0109790690896574,0.00020954736412992503,0.02784575264442979,0.03612690942741015,0.03021950852063582,-0.00015463360868117615,0.021316932381514997,-0.00395256852261805,0.001370851001561535,0.002464157327437322,0.013195138214134206,0.0,0.0
citizen,,-0.007281776100000026,-0.049501424489765466,-0.014273493124271619,0.023396382712276953,0.07543111364406108,0.013555020913263327,0.012561275054015164,0.015357544514289279,0.005808274447441697,-0.007181293171586001,0.0034674332083579618,0.0015384622984100371,-0.009881756756756732,0.0
cleric,,0.009241979000000011,0.010533507544477683,-0.0017924185581579266,0.016921969478989718,0.04872230110019515,0.018046818730019787,0.0015137338007777945,0.015519468853597784,-0.008695935910532526,-0.00033268697168920003,-0.005597297512676347,0.016424895818062613,-0.001250781738586726,0.0
clue,,0.0012853550000000435,0.009892813223059571,-0.0024877587800722356,0.01311082386637441,0.031405369157658125,0.028534747628127244,-0.017541287742434575,0.021645940352690518,0.019371376416922992,-0.028955072747932964,0.016214482330050073,0.006243056040427852,0.0,0.0
cockatrice,,-0.002662606500000053,-0.0012717663132520984,-0.002726935045121448,0.01643537133485129,0.008578905460361774,0.031088545342273788,-0.001030496586972185,0.022214929519128512,-0.03078130744729546,-0.0019879401343766423,0.0071511634366432375,-0.001162204406456313,0.0,0.0
construct,,-0.0007782402000000577,0.010244156614492628,-0.0005438393974340761,0.00820141689672238,-0.006036954333283551,0.00953077202905317,-0.012478007135432012,-0.0009568430492233881,-0.002050687702411791,-0.016658424264014204,-0.008616173494361945,0.004579390723307597,0.0005019197514584128,0.0
contraption,,0.0002179599999998505,0.0619142761643674,-0.003626242508524391,0.03556034265570274,0.05957386311804469,0.2618282367099112,0.015166705213876197,0.02665980579353855,0.00444851540152591,-0.009512305703372248,-0.0145551615195888,-0.004327869011617191,0.0008624892606770018,0.0
coward,,-0.029359112099999973,0.01904761908392305,-0.0006493506048409481,0.03272888069655999,-0.054333037295485775,-0.016938775467564393,0.013080254983660833,-0.0005252101429222833,-0.0005411255659031333,-0.022721088403754974,0.0,0.005952381005018159,0.0,0.0
crab,,-0.0192587823,0.00781713642868942,0.014703899865681214,0.02538372598901617,0.06816875386287702,0.006262935525546132,0.01660737016579006,0.014263724739247419,-0.0017274389994230699,-0.00774310734869077,0.010636486737943818,-0.007556770429845816,0.0,0.0
crocodile,,-0.0023310023000000513,0.005147165354279393,0.009843710611233902,0.016124783643546747,0.03570213208326689,0.039173271559100886,0.004128915096978991,0.011296901823681038,-0.009243149326900846,-0.007916268247048386,0.00782906979306941,-0.0020735841510348685,-0.005347593582887722,0.0
curse,,0.0019520959999999032,0.0010741112317609325,-0.0054955684480865186,0.018784280099193085,0.0035705886693855327,0.016312376794672456,0.004222362363078824,-0.003791659786653856,0.00815790455537413,-0.010537469367551955,0.009631578312263578,-0.005379110118833963,0.0,0.0
cyclops,,-0.003108465599999999,0.006237975131108797,0.009137426516180991,0.013321706214097118,0.041501981854535464,0.02466324500354622,0.004483625434171357,0.02200979162022554,-0.0009013288395712804,-0.017102998892396304,0.0004125936300349853,0.0011798036798611466,0.002192982456140413,0.0
daretti,,,,,,,,,,,,,,,
dauthi,,-0.0037878788000000885,0.005952380696650383,-0.014052353590964128,0.03433280084323642,0.015224793235959933,0.01316550881165357,0.01405588344678188,0.0036490678826976986,-0.00951867775098314,-0.00850934647066981,0.006697318353525938,0.008496544509125403,0.0,0.0
demon,,-0.0014426466999999388,0.0012372743497577332,0.0057873711961911045,0.017708088309698944,0.019114222755406862,0.025967187983700013,-0.006533429053682371,0.008185676688032828,-0.008892987788352125,-0.009180719059090237,0.0007402494130506199,0.006190134778444989,0.0,0.0
desert,,0.004537055999999984,0.010072663760449796,-0.007176539795155312,0.02149508260194266,0.0616910298333917,0.01178183204029315,0.012833161240451751,0.011315297445525951,0.0849482501175709,0.19150831861955298,-0.004159858655354953,-0.0001386017395231809,0.0,0.0
deserter,,,,,,,,,,,,,,,
devil,,0.0023308749999999545,0.00034352628317479983,0.01691965550375696,0.030324944422229105,0.03998914575756363,0.028483318523229606,0.010502576969638744,0.007378671685806193,-0.0014619793509681456,-0.009510050431504435,0.0010725361662993205,0.006301513037730411,-0.0011655011655011815,0.0
dinosaur,,0.002021384999999931,0.0163455802891872,0.003952995852594343,0.02666629957888067,0.04798495050607565,-0.005203769124196178,0.012673152224134787,0.014379738641363105,-0.0022292193406153737,-0.022427591656879797,-0.006685840899236739,0.012254829836517933,0.003486176384385864,0.0
djinn,,-0.0038961808999999903,0.004717067448095191,6.511374569817541e-05,0.017682468381929217,0.005212652576775723,0.013190435500005204,0.0013822559025364889,0.01093047636967448,-0.0014401902014754553,-0.004621616391377148,0.0021350734390408466,0.001267326071773489,0.0022342180236916143,0.0
