benchmark,generation
MassimilanoFrezzato,"SELECT uuid FROM cards WHERE artist = ""Massimilano Frezzato"""
DonHazeltine,"SELECT uuid FROM cards WHERE artist = ""Don Hazeltine"""
BradleyWilliams,"SELECT uuid FROM cards WHERE artist = ""Bradley Williams"""
PatrickFaricy,"SELECT uuid FROM cards WHERE artist = ""Patrick Faricy"""
PeterBollinger,"SELECT uuid FROM cards WHERE artist = ""Peter Bollinger"""
KunioHagio,"SELECT uuid FROM cards WHERE artist = ""Kunio Hagio"""
MonteMichaelMoore,"SELECT uuid FROM cards WHERE artist = ""Monte Michael Moore"""
BobPetillo,"SELECT uuid FROM cards WHERE artist = ""Bob Petillo"""
MikeSass,"SELECT uuid FROM cards WHERE artist = ""Mike Sass"""
JunkoTaguchi,"SELECT uuid FROM cards WHERE artist = ""Junko Taguchi"""
Berry,"SELECT uuid FROM cards WHERE artist = ""Berry"""
GlenAngusArnieSwekel,"SELECT uuid FROM cards WHERE artist = ""Glen Angus & Arnie Swekel"""
JoelBiske,"SELECT uuid FROM cards WHERE artist = ""Joel Biske"""
RickFarrell,"SELECT uuid FROM cards WHERE artist = ""Rick Farrell"""
QiaoDafu,"SELECT uuid FROM cards WHERE artist = ""Qiao Dafu"""
MatthewMitchell,"SELECT uuid FROM cards WHERE artist = ""Matthew Mitchell"""
KeithParkinson,"SELECT uuid FROM cards WHERE artist = ""Keith Parkinson"""
KevinMurphy,"SELECT uuid FROM cards WHERE artist = ""Kevin Murphy"""
SamWood,"SELECT uuid FROM cards WHERE artist = ""Sam Wood"""
SimonBisley,"SELECT uuid FROM cards WHERE artist = ""Simon Bisley"""
TedNaifeh,"SELECT uuid FROM cards WHERE artist = ""Ted Naifeh"""
HughJamieson,"SELECT uuid FROM cards WHERE artist = ""Hugh Jamieson"""
ValMayerik,"SELECT uuid FROM cards WHERE artist = ""Val Mayerik"""
RandyElliott,"SELECT uuid FROM cards WHERE artist = ""Randy Elliott"""
EricDeschamps,"SELECT uuid FROM cards WHERE artist = ""Eric Deschamps"""
IainMcCaig,"SELECT uuid FROM cards WHERE artist = ""Iain McCaig"""
CoreyDMacourek,"SELECT uuid FROM cards WHERE artist = ""Corey D. Macourek"""
PatrickHo,"SELECT uuid FROM cards WHERE artist = ""Patrick Ho"""
NicolaLeonard,"SELECT uuid FROM cards WHERE artist = ""Nicola Leonard"""
MagaliVilleneuve,"SELECT uuid FROM cards WHERE artist = ""Magali Villeneuve"""
CraigJSpearing,"SELECT uuid FROM cards WHERE artist = ""Craig J Spearing"""
StevePrescott,"SELECT uuid FROM cards WHERE artist = ""Steve Prescott"""
VincentProce,"SELECT uuid FROM cards WHERE artist = ""Vincent Proce"""
ChrisRahn,"SELECT uuid FROM cards WHERE artist = ""Chris Rahn"""
PeterMohrbacher,"SELECT uuid FROM cards WHERE artist = ""Peter Mohrbacher"""
XiZhang,"SELECT uuid FROM cards WHERE artist = ""Xi Zhang"""
JonasDeRo,"SELECT uuid FROM cards WHERE artist = ""Jonas De Ro"""
WinonaNelson,"SELECT uuid FROM cards WHERE artist = ""Winona Nelson"""
TrevorClaxton,"SELECT uuid FROM cards WHERE artist = ""Trevor Claxton"""
JakubKasper,"SELECT uuid FROM cards WHERE artist = ""Jakub Kasper"""
YeongHaoHan,"SELECT uuid FROM cards WHERE artist = ""Yeong-Hao Han"""
TomaszJedruszek,"SELECT uuid FROM cards WHERE artist = ""Tomasz Jedruszek"""
Izzy,"SELECT uuid FROM cards WHERE artist = ""Izzy"""
ZoltanBoros,"SELECT uuid FROM cards WHERE artist = ""Zoltan Boros"""
SongShikai,"SELECT uuid FROM cards WHERE artist = ""Song Shikai"""
JamesPaick,"SELECT uuid FROM cards WHERE artist = ""James Paick"""
BrandonKitkouski,"SELECT uuid FROM cards WHERE artist = ""Brandon Kitkouski"""
JungPark,"SELECT uuid FROM cards WHERE artist = ""Jung Park"""
ChaseStone,"SELECT uuid FROM cards WHERE artist = ""Chase Stone"""
HowardLyon,"SELECT uuid FROM cards WHERE artist = ""Howard Lyon"""
JasonFelix,"SELECT uuid FROM cards WHERE artist = ""Jason Felix"""
JesperEjsing,"SELECT uuid FROM cards WHERE artist = ""Jesper Ejsing"""
KarlKopinski,"SELECT uuid FROM cards WHERE artist = ""Karl Kopinski"""
ViktorTitov,"SELECT uuid FROM cards WHERE artist = ""Viktor Titov"""
ZackStella,"SELECT uuid FROM cards WHERE artist = ""Zack Stella"""
AnthonyPalumbo,"SELECT uuid FROM cards WHERE artist = ""Anthony Palumbo"""
WarrenMahy,"SELECT uuid FROM cards WHERE artist = ""Warren Mahy"""
MichaelPhillippi,"SELECT uuid FROM cards WHERE artist = ""Michael Phillippi"""
JamaJurabaev,"SELECT uuid FROM cards WHERE artist = ""Jama Jurabaev"""
SebMcKinnon,"SELECT uuid FROM cards WHERE artist = ""Seb McKinnon"""
NoahBradley,"SELECT uuid FROM cards WHERE artist = ""Noah Bradley"""
JasonRainville,"SELECT uuid FROM cards WHERE artist = ""Jason Rainville"""
JohannBodin,"SELECT uuid FROM cards WHERE artist = ""Johann Bodin"""
TitusLunter,"SELECT uuid FROM cards WHERE artist = ""Titus Lunter"""
JehanChoo,"SELECT uuid FROM cards WHERE artist = ""Jehan Choo"""
DavidRapoza,"SELECT uuid FROM cards WHERE artist = ""David Rapoza"""
NaomiBaker,"SELECT uuid FROM cards WHERE artist = ""Naomi Baker"""
RandyVargas,"SELECT uuid FROM cards WHERE artist = ""Randy Vargas"""
AaronMiller,"SELECT uuid FROM cards WHERE artist = ""Aaron Miller"""
JoelThomas,"SELECT uuid FROM cards WHERE artist = ""Joel Thomas"""
BastienLDeharme,"SELECT uuid FROM cards WHERE artist = ""Bastien L. Deharme"""
JasonChan,"SELECT uuid FROM cards WHERE artist = ""Jason Chan"""
MarkWinters,"SELECT uuid FROM cards WHERE artist = ""Mark Winters"""
LucasGraciano,"SELECT uuid FROM cards WHERE artist = ""Lucas Graciano"""
AdamPaquette,"SELECT uuid FROM cards WHERE artist = ""Adam Paquette"""
SlawomirManiak,"SELECT uuid FROM cards WHERE artist = ""Slawomir Maniak"""
JackWang,"SELECT uuid FROM cards WHERE artist = ""Jack Wang"""
SvetlinVelinov,"SELECT uuid FROM cards WHERE artist = ""Svetlin Velinov"""
JonathanKuo,"SELECT uuid FROM cards WHERE artist = ""Jonathan Kuo"""
MattStewart,"SELECT uuid FROM cards WHERE artist = ""Matt Stewart"""
GaoYan,"SELECT uuid FROM cards WHERE artist = ""Gao Yan"""
HideakiTakamura,"SELECT uuid FROM cards WHERE artist = ""Hideaki Takamura"""
SaraWinters,"SELECT uuid FROM cards WHERE artist = ""Sara Winters"""
AnastasiaOvchinnikova,"SELECT uuid FROM cards WHERE artist = ""Anastasia Ovchinnikova"""
CarlFrank,"SELECT uuid FROM cards WHERE artist = ""Carl Frank"""
ScottChou,"SELECT uuid FROM cards WHERE artist = ""Scott Chou"""
DrewBaker,"SELECT uuid FROM cards WHERE artist = ""Drew Baker"""
RyanAlexanderLee,"SELECT uuid FROM cards WHERE artist = ""Ryan Alexander Lee"""
ClintCearley,"SELECT uuid FROM cards WHERE artist = ""Clint Cearley"""
PhilipStraub,"SELECT uuid FROM cards WHERE artist = ""Philip Straub"""
RyanYee,"SELECT uuid FROM cards WHERE artist = ""Ryan Yee"""
MarcSimonetti,"SELECT uuid FROM cards WHERE artist = ""Marc Simonetti"""
SteveArgyle,"SELECT uuid FROM cards WHERE artist = ""Steve Argyle"""
PhillSimmer,"SELECT uuid FROM cards WHERE artist = ""Phill Simmer"""
TylerJacobson,"SELECT uuid FROM cards WHERE artist = ""Tyler Jacobson"""
DaveDeVries,"SELECT uuid FROM cards WHERE artist = ""Dave DeVries"""
JasonKang,"SELECT uuid FROM cards WHERE artist = ""Jason Kang"""
GrzegorzRutkowski,"SELECT uuid FROM cards WHERE artist = ""Grzegorz Rutkowski"""
JanaSchirmerJohannesVoss,"SELECT uuid FROM cards WHERE artist = ""Jana Schirmer & Johannes Voss"""
DavidPalumbo,"SELECT uuid FROM cards WHERE artist = ""David Palumbo"""
WillianMurai,"SELECT uuid FROM cards WHERE artist = ""Willian Murai"""
ChrisRallis,"SELECT uuid FROM cards WHERE artist = ""Chris Rallis"""
KieranYanner,"SELECT uuid FROM cards WHERE artist = ""Kieran Yanner"""
EricaYang,"SELECT uuid FROM cards WHERE artist = ""Erica Yang"""
KarlaOrtiz,"SELECT uuid FROM cards WHERE artist = ""Karla Ortiz"""
JasonAEngle,"SELECT uuid FROM cards WHERE artist = ""Jason A. Engle"""
EMGist,"SELECT uuid FROM cards WHERE artist = ""E. M. Gist"""
VictorAdameMinguez,"SELECT uuid FROM cards WHERE artist = ""Victor Adame Minguez"""
SidharthChaturvedi,"SELECT uuid FROM cards WHERE artist = ""Sidharth Chaturvedi"""
YongjaeChoi,"SELECT uuid FROM cards WHERE artist = ""Yongjae Choi"""
JamesRyman,"SELECT uuid FROM cards WHERE artist = ""James Ryman"""
ChristineChoi,"SELECT uuid FROM cards WHERE artist = ""Christine Choi"""
GregOpalinski,"SELECT uuid FROM cards WHERE artist = ""Greg Opalinski"""
AnnaSteinbauer,"SELECT uuid FROM cards WHERE artist = ""Anna Steinbauer"""
ScottMurphy,"SELECT uuid FROM cards WHERE artist = ""Scott Murphy"""
EfflamMercier,"SELECT uuid FROM cards WHERE artist = ""Efflam Mercier"""
WesleyBurt,"SELECT uuid FROM cards WHERE artist = ""Wesley Burt"""
TonyFoti,"SELECT uuid FROM cards WHERE artist = ""Tony Foti"""
JohnSeverinBrassell,"SELECT uuid FROM cards WHERE artist = ""John Severin Brassell"""
JosephMeehan,"SELECT uuid FROM cards WHERE artist = ""Joseph Meehan"""
CliffChilds,"SELECT uuid FROM cards WHERE artist = ""Cliff Childs"""
JohnStanko,"SELECT uuid FROM cards WHERE artist = ""John Stanko"""
JohannesVoss,"SELECT uuid FROM cards WHERE artist = ""Johannes Voss"""
RyanPancoast,"SELECT uuid FROM cards WHERE artist = ""Ryan Pancoast"""
JoshHass,"SELECT uuid FROM cards WHERE artist = ""Josh Hass"""
MinYum,"SELECT uuid FROM cards WHERE artist = ""Min Yum"""
BradRigney,"SELECT uuid FROM cards WHERE artist = ""Brad Rigney"""
JohnSilva,"SELECT uuid FROM cards WHERE artist = ""John Silva"""
ZezhouChen,"SELECT uuid FROM cards WHERE artist = ""Zezhou Chen"""
