mtgjson_set_code,mtgjson_name,mtgjson_link,mkm_set_name,mkm_web_name
PKTK,Khans of Tarkir Promos,https://mtgjson.com/v4/json/PKTK.json,Khans of Tarkir: Promos,Khans+of+Tarkir%3A+Promos
POGW,Oath of the Gatewatch Promos,https://mtgjson.com/v4/json/POGW.json,Oath of the Gatewatch: Promos,Oath+of+the+Gatewatch%3A+Promos
PRIX,Rivals of Ixalan Promos,https://mtgjson.com/v4/json/PRIX.json,Rivals of Ixalan: Promos,Rivals+of+Ixalan%3A+Promos
PSOI,Shadows over Innistrad Promos,https://mtgjson.com/v4/json/PSOI.json,Shadows over Innistrad: Promos,Shadows+over+Innistrad%3A+Promos
PAER,Aether Revolt Promos,https://mtgjson.com/v4/json/PAER.json,Aether Revolt: Promos,Aether+Revolt%3A+Promos
DVD,Duel Decks Anthology: Divine vs. Demonic,https://mtgjson.com/v4/json/DVD.json,Duel Decks: Anthology,Duel+Decks%3A+Anthology
GVL,Duel Decks Anthology: Garruk vs. Liliana,https://mtgjson.com/v4/json/GVL.json,Duel Decks: Anthology,Duel+Decks%3A+Anthology
JVC,Duel Decks Anthology: Jace vs. Chandra,https://mtgjson.com/v4/json/JVC.json,Duel Decks: Anthology,Duel+Decks%3A+Anthology
PALP,Asia Pacific Land Program,https://mtgjson.com/v4/json/PALP.json,APAC Lands,APAC+Lands
GK1,GRN Guild Kit,https://mtgjson.com/v4/json/GK1.json,Guilds of Ravnica: Guild Kits,Guilds+of+Ravnica%3A+Guild+Kits
